Date Sold,Ticker,Asset Type,Quantity,Proceeds (EUR),Cost Basis (EUR),Realized Gain (EUR),Holding Period (days),Date Acquired
2025-12-16,IE0003XJA0J9,Stock,3350.0,"€36,722.70","€36,402.81",€319.89,195,2025-06-04
2025-12-16,IE0003XJA0J9,Stock,0.275565,€3.02,€2.99,€0.03,195,2025-06-04
2025-12-08,INPOF,Stock,185.0,"€1,796.35","€2,280.39",€-484.04,346,2024-12-27
2025-12-08,1211.HK,Stock,171.0,"€1,851.07","€1,825.41",€25.66,644,2024-03-04
2025-12-08,WPLCF,Stock,85.0,€838.10,"€1,115.40",€-277.30,350,2024-12-23
2025-12-08,EVGGF,Stock,14.0,€791.56,€930.91,€-139.35,350,2024-12-23
2025-12-08,DSKYF,Stock,80.0,"€1,512.80","€1,532.80",€-20.00,158,2025-07-03
2025-12-08,NONOF,Stock,64.242736,"€2,611.79","€3,576.51",€-964.72,353,2024-12-20
2025-12-08,INPOF,Stock,192.0,"€1,865.28","€2,366.68",€-501.40,346,2024-12-27
2025-12-08,AMZN,Stock,7.478829,"€1,478.27","€1,353.04",€125.23,493,2024-08-02
2025-12-08,SBS,Stock,80.0,"€1,744.00","€1,432.00",€312.00,187,2025-06-04
2025-12-08,INPOF,Stock,0.204164,€1.98,€2.52,€-0.54,346,2024-12-27
2025-12-08,ZTS,Stock,13.203668,"€1,345.45","€1,817.40",€-471.95,202,2025-05-20
2025-12-08,BN,Stock,26.0,"€1,037.40",€935.43,€101.97,206,2025-05-16
2025-12-08,GOOGL,Stock,5.08347,"€1,399.23",€762.33,€636.90,675,2024-02-02
2025-12-08,BN,Stock,0.5985545,€23.88,€21.53,€2.35,206,2025-05-16
2025-12-08,NU,Stock,0.791182,€11.47,€8.37,€3.10,747,2023-11-22
2025-12-08,MELI,Stock,0.524132,€939.98,"€1,091.00",€-151.02,220,2025-05-02
2025-12-08,NU,Stock,47.0,€681.59,€497.32,€184.27,747,2023-11-22
2025-12-08,AWK,Stock,8.414937,€931.11,"€1,042.20",€-111.09,193,2025-05-29
2025-12-08,MSCI,Stock,2.680714,"€1,239.56","€1,300.79",€-61.23,216,2025-05-06
2025-12-08,CADLF,Stock,200.0,€797.60,€889.20,€-91.60,193,2025-05-29
2025-12-08,DKILF,Stock,0.470677,€51.09,€48.14,€2.95,189,2025-06-02
2025-12-08,KYCCF,Stock,0.010773,€3.23,€3.54,€-0.31,206,2025-05-16
2025-12-08,ISRG,Stock,1.303676,€644.47,€545.00,€99.47,206,2025-05-16
2025-12-08,KNSL,Stock,1.0,€303.70,€372.75,€-69.05,220,2025-05-02
2025-12-08,CAMRF,Stock,10.0,€545.50,€466.60,€78.90,193,2025-05-29
2025-12-08,TSM,Stock,1.667171,€429.30,€253.97,€175.33,777,2023-10-23
2025-12-08,DKILF,Stock,3.0,€325.65,€306.86,€18.79,189,2025-06-02
2025-12-08,KYCCF,Stock,2.0,€598.80,€656.46,€-57.66,206,2025-05-16
2025-12-08,KNSL,Stock,0.314545,€95.53,€117.25,€-21.72,220,2025-05-02
2025-12-08,SPGI,Stock,0.800117,€340.61,€355.00,€-14.39,206,2025-05-16
2025-12-08,LIN,Stock,1.025972,€351.91,€400.00,€-48.09,159,2025-07-02
2025-12-08,MSTR,Stock,0.014029,€2.19,€5.00,€-2.81,206,2025-05-16
2025-12-08,BRK/B,Stock,0.78517,€337.70,€335.00,€2.70,220,2025-05-02
2025-12-08,CRWD,Stock,0.688631,€303.34,€275.00,€28.34,159,2025-07-02
2025-12-08,EADSF,Stock,0.355763,€70.39,€60.00,€10.39,220,2025-05-02
2025-12-08,PROSF,Stock,0.852802,€44.28,€44.27,€0.01,159,2025-07-02
2025-12-08,NOW,Stock,1.55447,€228.54,€250.00,€-21.46,159,2025-07-02
2025-12-08,SBGSF,Stock,0.178729,€42.38,€41.70,€0.68,175,2025-06-16
2025-12-08,RTPPF,Stock,4.796473,€302.13,€260.00,€42.13,220,2025-05-02
2025-12-08,PROSF,Stock,3.0,€155.76,€155.73,€0.03,159,2025-07-02
2025-12-08,SBGSF,Stock,1.0,€237.10,€233.30,€3.80,175,2025-06-16
2025-12-08,V,Stock,0.335232,€95.83,€100.00,€-4.17,159,2025-07-02
2025-12-08,RNMBF,Stock,0.078251,€122.78,€130.00,€-7.22,206,2025-05-16
2025-12-08,XYL,Stock,1.476988,€176.13,€170.00,€6.13,189,2025-06-02
2025-12-08,RKLB,Stock,0.83752,€42.80,€25.00,€17.80,159,2025-07-02
2025-12-08,STMZF,Stock,0.223684,€2.80,€2.72,€0.08,159,2025-07-02
2025-12-08,STMZF,Stock,8.0,€100.24,€97.28,€2.96,159,2025-07-02
2025-12-08,DDOG,Stock,0.31104,€40.57,€30.00,€10.57,220,2025-05-02
2025-12-08,TGTX,Stock,0.97688,€25.50,€30.00,€-4.50,206,2025-05-16
2025-12-08,FTNT,Stock,0.848896,€63.30,€75.00,€-11.70,189,2025-06-02
2025-12-08,HUBS,Stock,0.008369,€2.75,€5.00,€-2.25,206,2025-05-16
2025-12-08,RYDAF,Stock,1.715354,€54.08,€50.52,€3.56,189,2025-06-02
2025-12-08,GMAB.CO,Stock,0.112612,€30.95,€23.02,€7.93,433,2024-10-01
2025-12-08,PLTR,Stock,0.043081,€6.72,€5.00,€1.72,206,2025-05-16
2025-12-08,GRAB,Stock,0.878528,€3.91,€3.85,€0.06,350,2024-12-23
2025-12-08,ADYYF,Stock,0.006025,€8.20,€10.00,€-1.80,206,2025-05-16
2025-12-08,GRAB,Stock,11.0,€49.02,€48.20,€0.82,350,2024-12-23
2025-12-08,CPNG,Stock,0.202306,€4.66,€5.00,€-0.34,206,2025-05-16
2025-12-08,SPOT,Stock,0.00868,€4.21,€5.00,€-0.79,206,2025-05-16
2025-12-08,BLK,Stock,0.005652,€5.20,€5.00,€0.20,206,2025-05-16
2025-12-08,NET,Stock,0.035816,€6.24,€5.00,€1.24,206,2025-05-16
2025-12-08,CNSWF,Stock,0.001531,€3.18,€5.00,€-1.82,206,2025-05-16
2025-12-08,KSPI,Stock,56.899742,"€3,678.92","€4,813.22","€-1,134.30",441,2024-09-23
2025-12-08,KSPI,Stock,14.959859,€960.42,"€1,265.47",€-305.05,441,2024-09-23
2025-11-27,SE,Stock,0.559214,€65.15,€22.51,€42.64,743,2023-11-15
2025-11-10,EUXTF,Stock,0.377088,€47.93,€33.37,€14.56,882,2023-06-12
2025-11-10,WPLCF,Stock,7.0,€73.71,€91.86,€-18.15,322,2024-12-23
2025-11-10,WPLCF,Stock,0.820862,€8.64,€10.77,€-2.13,322,2024-12-23
2025-11-10,ANPDF,Stock,0.943218,€8.67,€10.00,€-1.33,178,2025-05-16
2025-11-07,LVMHF,Stock,0.527646,€318.43,€250.71,€67.72,151,2025-06-09
2025-11-07,LVMHF,Stock,2.0,"€1,207.00",€950.29,€256.71,151,2025-06-09
2025-10-31,META,Stock,0.176774,€100.05,€87.61,€12.44,431,2024-08-26
2025-10-28,SOFI,Stock,30.0,€788.55,€232.63,€555.92,594,2024-03-13
2025-10-17,VFAWF,Stock,133.0,"€18,649.26","€17,217.57","€1,431.69",375,2024-10-07
2025-09-29,TSLA,Stock,8.0,"€3,009.60","€1,488.99","€1,520.61",731,2023-09-29
2025-09-17,JNJ,Stock,0.559785,€83.78,€75.00,€8.78,107,2025-06-02
2025-09-17,EVGGF,Stock,1.0,€73.16,€66.49,€6.67,268,2024-12-23
2025-09-17,EVGGF,Stock,0.077912,€5.70,€5.18,€0.52,268,2024-12-23
2025-09-03,TMO,Stock,0.277816,€114.71,€100.00,€14.71,63,2025-07-02
2025-09-02,ANET,Stock,0.978473,€112.64,€75.00,€37.64,92,2025-06-02
2025-08-27,UBER,Stock,0.685213,€57.09,€50.00,€7.09,86,2025-06-02
2025-08-11,ZETA,Stock,30.0,€483.00,€357.00,€126.00,83,2025-05-20
2025-07-28,SRPT,Stock,125.0,"€1,194.75","€1,944.38",€-749.63,24,2025-07-04
2025-07-21,SMCI,Stock,1.417635,€63.58,€50.00,€13.58,49,2025-06-02
2025-07-04,CRM,Stock,0.301782,€69.46,€68.64,€0.82,14,2025-06-20
2025-07-04,CRM,Stock,3.0,€690.45,€682.36,€8.09,14,2025-06-20
2025-07-03,IE00B7Y34M31,Stock,0.722539,€73.18,€68.07,€5.11,413,2024-05-16
2025-07-03,IE00B7Y34M31,Stock,40.0,"€4,051.20","€3,768.34",€282.86,413,2024-05-16
2025-06-19,JUMSF,Stock,20.0,€551.60,€515.33,€36.27,178,2024-12-23
2025-06-19,JUMSF,Stock,10.0,€276.00,€257.67,€18.33,178,2024-12-23
2025-06-13,NONOF,Stock,6.0,€415.92,€385.90,€30.02,175,2024-12-20
2025-06-13,LNTH,Stock,10.0,€684.00,€704.81,€-20.81,483,2024-02-16
2025-06-09,VTTGF,Stock,0.058105,€20.12,€20.00,€0.12,24,2025-05-16
2025-06-09,ALFVF,Stock,13.0,€490.88,€473.50,€17.38,34,2025-05-06
2025-06-09,ALFVF,Stock,0.755158,€28.51,€27.50,€1.01,34,2025-05-06
2025-06-09,ABLZF,Stock,0.615337,€31.17,€30.47,€0.70,24,2025-05-16
2025-06-09,NSRGF,Stock,1.0,€92.12,€93.35,€-1.23,7,2025-06-02
2025-06-09,ABLZF,Stock,1.0,€50.66,€49.53,€1.13,24,2025-05-16
2025-06-09,NSRGF,Stock,0.071237,€6.56,€6.65,€-0.09,7,2025-06-02
2025-06-09,CCJ,Stock,1.0,€53.36,€51.50,€1.86,7,2025-06-02
2025-06-09,CCJ,Stock,0.45631,€24.35,€23.50,€0.85,7,2025-06-02
2025-06-09,GRPOF,Stock,600.0,€540.00,€558.00,€-18.00,3,2025-06-06
2025-06-09,MRK,Stock,0.590841,€40.83,€40.00,€0.83,24,2025-05-16
2025-06-04,VFAWF,Stock,16.268093,"€2,108.02","€2,105.99",€2.03,240,2024-10-07
2025-06-02,STOHF,Stock,30.0,€624.60,€627.90,€-3.30,10,2025-05-23
2025-06-02,JGHAF,Stock,43.0,"€1,513.60","€1,076.10",€437.50,157,2024-12-27
2025-06-02,HOEGF,Stock,224.0,"€1,667.68","€1,926.83",€-259.15,517,2024-01-02
2025-06-02,SEZL,Stock,12.0,"€1,106.40",€424.00,€682.40,77,2025-03-17
2025-06-02,POWL,Stock,6.0,€885.00,€953.40,€-68.40,278,2024-08-28
2025-05-29,TOELF,Stock,0.224963,€32.19,€30.00,€2.19,27,2025-05-02
2025-05-23,APD,Stock,0.103007,€24.34,€25.00,€-0.66,21,2025-05-02
2025-05-21,LI,Stock,14.0,€361.20,€345.80,€15.40,92,2025-02-18
2025-05-21,IE00BLRPRL42,Stock,5.0,€941.00,€955.32,€-14.32,384,2024-05-02
2025-05-20,IE00BLRPRL42,Stock,0.592228,€111.18,€113.15,€-1.97,383,2024-05-02
2025-05-20,IE00BLRPRL42,Stock,15.0,"€2,815.95","€2,865.96",€-50.01,383,2024-05-02
2025-05-15,YASKF,Stock,0.324854,€6.70,€6.13,€0.57,13,2025-05-02
2025-05-15,YASKF,Stock,1.0,€20.64,€18.87,€1.77,13,2025-05-02
2025-05-12,ELF,Stock,8.0,€535.04,€639.98,€-104.94,206,2024-10-18
2025-05-06,PHYMF,Stock,50.0,"€2,897.00","€2,342.60",€554.40,337,2024-06-03
2025-05-06,PHYMF,Stock,0.824869,€47.79,€38.65,€9.14,337,2024-06-03
2025-03-31,MARA,Stock,29.0,€312.33,€485.29,€-172.96,88,2025-01-02
2025-03-31,IREN,Stock,100.0,€546.00,€696.70,€-150.70,179,2024-10-03
2025-03-24,PHYMF,Stock,2.0,€108.50,€92.74,€15.76,294,2024-06-03
2025-03-24,PHYMF,Stock,0.764976,€41.50,€35.47,€6.03,294,2024-06-03
2025-03-24,HXSCL,Stock,4.0,€528.00,€516.00,€12.00,6,2025-03-18
2025-03-18,ZETA,Stock,20.0,€250.00,€258.00,€-8.00,1,2025-03-17
2025-03-18,LNTH,Stock,3.0,€282.96,€211.44,€71.52,396,2024-02-16
2025-03-17,SMCI,Stock,11.0,€427.79,€414.48,€13.31,6,2025-03-11
2025-03-17,AMD,Stock,6.0,€552.48,€544.68,€7.80,7,2025-03-10
2025-03-11,PLTR,Stock,11.0,€776.49,€324.51,€451.98,201,2024-08-22
2025-03-10,VEEV,Stock,2.0,€449.60,€410.40,€39.20,67,2025-01-02
2025-03-10,RTPPF,Stock,5.0,€288.70,€286.55,€2.15,67,2025-01-02
2025-03-10,PSKRF,Stock,19.0,€495.90,€460.75,€35.15,67,2025-01-02
2025-03-10,LNTH,Stock,3.0,€302.10,€211.44,€90.66,388,2024-02-16
2025-03-10,XYL,Stock,4.0,€478.80,€482.62,€-3.83,367,2024-03-08
2025-03-10,XYL,Stock,4.0,€478.60,€482.62,€-4.03,367,2024-03-08
2025-03-07,PSKOF,Stock,30.0,€457.32,€436.32,€21.00,389,2024-02-12
2025-03-06,CROX,Stock,3.0,€283.89,€262.89,€21.00,24,2025-02-10
2025-03-06,PSKOF,Stock,27.0,€408.73,€392.69,€16.04,388,2024-02-12
2025-03-06,PSKOF,Stock,20.0,€302.80,€290.88,€11.92,388,2024-02-12
2025-03-03,DKILF,Stock,3.0,€307.20,€342.30,€-35.10,60,2025-01-02
2025-02-25,HON,Stock,2.122,€404.50,€406.90,€-2.40,18,2025-02-07
2025-02-25,SMFRF,Stock,27.0,€259.20,€271.80,€-12.60,8,2025-02-17
2025-02-25,PSKOF,Stock,18.0,€261.43,€261.79,€-0.36,379,2024-02-12
2025-02-21,PLTR,Stock,6.0,€603.48,€177.01,€426.47,183,2024-08-22
2025-02-21,PLTR,Stock,3.0,€301.50,€88.50,€213.00,183,2024-08-22
2025-02-18,PLTR,Stock,3.0,€350.64,€88.50,€262.14,180,2024-08-22
2025-02-18,PLTR,Stock,3.0,€354.00,€88.50,€265.50,180,2024-08-22
2025-02-17,PLTR,Stock,8.0,€899.04,€236.01,€663.03,179,2024-08-22
2025-02-07,BRPETRACNPR6,Stock,180.0,"€1,151.64","€1,225.73",€-74.09,463,2023-11-02
2025-02-07,HIMS,Stock,15.0,€585.30,€177.86,€407.44,546,2023-08-11
2025-02-06,NSSC,Stock,8.0,€202.08,€278.64,€-76.56,35,2025-01-02
2025-01-21,TDW,Stock,6.0,€319.92,€282.12,€37.80,47,2024-12-05
2025-01-13,HIMS,Stock,20.0,€487.80,€237.15,€250.65,521,2023-08-11
2025-01-13,NRKBF,Stock,4.0,€263.80,€264.20,€-0.40,3,2025-01-10
2025-01-10,TSLA,Stock,1.0,€381.05,€186.12,€194.93,469,2023-09-29
2025-01-10,MSTR,Stock,1.0,€319.90,€332.10,€-12.20,18,2024-12-23
2025-01-02,AMD,Stock,3.0,€352.80,€348.36,€4.44,10,2024-12-23
2025-01-02,TRMD,Stock,15.0,€284.10,€266.40,€17.70,10,2024-12-23
2025-01-02,PSKOF,Stock,29.0,€325.96,€421.77,€-95.81,325,2024-02-12
2025-01-02,TSLA,Stock,1.0,€392.60,€186.12,€206.48,461,2023-09-29
2025-01-02,HXSCL,Stock,3.0,€339.00,€348.00,€-9.00,10,2024-12-23
2025-01-02,PYPL,Stock,6.0,€502.32,€376.12,€126.20,401,2023-11-28
